Key,Value
Type of event,Flood
Location of event,Brazil
Date of Charter Activation,2024-04-30
Time of Charter Activation,20:37
Time zone of Charter Activation,UTC-03:00
Charter Requestor,CENAD
Activation ID,875
Project Management,Artur Matos (SGB - Serviço Geológico Brasileiro)
Value Adding,"Alisson deOliveira (INPE), Julio Cesar Lana (SGB), Laercio Massaru Namikawa (INPE), Camila Gonçalves dos Santos (UFRRJ), Mailson Moura (CENSIPAM), Ulisses Guimarães (CENSIPAM), Copernicus EMS, UFRGS, Igor Lisboa (CENSIPAM), DianaArlette CorderoDevesa (CENAPRED), Luna Alves (Serviço Geológico Brasileiro - SGB), Manoel Araújo Sousa Júnior (Federal University of Santa Maria), Silvia Pardi LaCruz (Federal University of Santa Maria), Sidnei Gass (UNIPAMPA), Giovanna  Albuquerque (CENSIPAM), Brenda Rocha (INPE), ANA, Mariana MarquesWolf (INPE), Alexandre Junqueira Homem de Mello (INPE), Thales Korting (INPE), Helena Boscolo (INPE), NOAA VA (NOAA)"
